neighbourhood,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,ng_Brooklyn,ng_Manhattan,ng_Queens,ng_Staten Island,rt_Private room,rt_Shared room
Murray Hill,168,30,12,0.25,1,58,0,1,0,0,0,0
Downtown Brooklyn,150,1,11,0.8,1,8,1,0,0,0,0,0
East Village,95,1,78,4.79,1,5,0,1,0,0,1,0
Washington Heights,125,7,6,0.13,1,0,0,1,0,0,0,0
Murray Hill,70,2,3,0.17,1,0,0,1,0,0,1,0
Williamsburg,125,3,20,0.4,1,0,1,0,0,0,0,0
Upper East Side,125,3,211,3.95,1,230,0,1,0,0,0,0
Crown Heights,58,3,24,2.62,1,6,1,0,0,0,1,0
Upper West Side,200,30,0,1.3732214298586618,65,342,0,1,0,0,0,0
Sunnyside,30,2,6,0.42,1,0,0,0,1,0,1,0
Prospect Heights,150,5,24,0.25,1,363,1,0,0,0,0,0
Upper East Side,160,5,14,1.22,1,92,0,1,0,0,0,0
Financial District,90,1,2,0.06,2,0,0,1,0,0,1,0
Upper East Side,299,5,3,1.91,1,119,0,1,0,0,0,0
Bushwick,50,2,4,0.71,2,7,1,0,0,0,1,0
Harlem,50,30,5,0.16,6,151,0,1,0,0,1,0
Financial District,208,5,4,2.11,1,9,0,1,0,0,0,0
Bedford-Stuyvesant,250,2,0,1.3732214298586618,2,173,1,0,0,0,1,0
Ditmars Steinway,150,28,50,0.89,2,38,0,0,1,0,0,0
Theater District,100,1,0,1.3732214298586618,1,0,0,1,0,0,0,0
Harlem,65,4,10,0.6,1,2,0,1,0,0,1,0
Greenpoint,250,2,6,0.53,1,49,1,0,0,0,0,0
Financial District,105,6,0,1.3732214298586618,1,87,0,1,0,0,0,1
Murray Hill,85,5,3,0.17,2,364,0,1,0,0,1,0
Rosedale,62,1,144,6.21,3,0,0,0,1,0,1,0
East Harlem,130,1,4,0.18,1,0,0,1,0,0,0,0
East Village,750,3,97,2.22,1,47,0,1,0,0,0,0
Chinatown,90,1,1,0.02,1,0,0,1,0,0,1,0
St. Albans,42,4,10,1.56,3,189,0,0,1,0,1,0
Greenpoint,95,2,1,1.0,1,67,1,0,0,0,1,0
South Slope,190,7,2,0.04,1,0,1,0,0,0,0,0
Murray Hill,190,29,0,1.3732214298586618,327,345,0,1,0,0,0,0
Tribeca,499,30,0,1.3732214298586618,31,179,0,1,0,0,0,0
Williamsburg,110,6,18,0.52,1,0,1,0,0,0,0,0
Bedford-Stuyvesant,45,2,14,0.51,3,0,1,0,0,0,1,0
Greenwich Village,250,4,4,0.3,1,43,0,1,0,0,0,0
Brooklyn Heights,150,2,10,0.16,1,0,1,0,0,0,0,0
Jamaica,44,1,3,3.0,1,330,0,0,1,0,0,0
St. George,33,4,63,2.78,6,197,0,0,0,1,1,0
Williamsburg,88,7,15,0.55,1,0,1,0,0,0,1,0
Lower East Side,85,1,0,1.3732214298586618,1,0,0,1,0,0,0,0
Hell's Kitchen,125,5,5,0.09,1,0,0,1,0,0,0,0
Ditmars Steinway,30,15,0,1.3732214298586618,1,0,0,0,1,0,1,0
East Village,61,30,3,1.76,1,84,0,1,0,0,1,0
Bedford-Stuyvesant,120,2,74,1.83,2,60,1,0,0,0,0,0
Washington Heights,75,3,2,0.09,1,0,0,1,0,0,1,0
Washington Heights,150,2,3,0.15,1,365,0,1,0,0,1,0
East Village,165,2,3,0.08,1,0,0,1,0,0,0,0
Williamsburg,125,4,0,1.3732214298586618,1,0,1,0,0,0,0,0
Sunset Park,150,4,22,2.44,1,123,1,0,0,0,0,0
Ridgewood,99,2,57,0.89,1,42,0,0,1,0,0,0
Kew Gardens Hills,95,1,51,3.94,1,136,0,0,1,0,0,0
East Morrisania,65,2,91,3.82,4,325,0,0,0,0,1,0
Lower East Side,81,2,26,2.29,4,61,0,1,0,0,1,0
Pelham Bay,37,5,10,0.25,1,0,0,0,0,0,0,0
Gramercy,180,3,0,1.3732214298586618,1,0,0,1,0,0,0,0
Chinatown,85,1,14,3.93,3,332,0,1,0,0,1,0
Harlem,100,6,5,0.31,1,0,0,1,0,0,0,0
Harlem,50,2,0,1.3732214298586618,1,0,0,1,0,0,1,0
West Village,200,1,0,1.3732214298586618,1,0,0,1,0,0,1,0
Washington Heights,75,1,81,5.73,1,171,0,1,0,0,0,0
Hell's Kitchen,175,3,4,0.26,1,0,0,1,0,0,0,0
Chelsea,230,1,29,0.49,1,0,0,1,0,0,0,0
Financial District,379,2,96,1.52,1,0,0,1,0,0,0,0
Lower East Side,110,8,5,0.07,1,333,0,1,0,0,0,0
Washington Heights,110,7,19,1.11,1,171,0,1,0,0,0,0
Harlem,110,1,1,0.1,1,0,0,1,0,0,1,0
SoHo,75,14,0,1.3732214298586618,2,133,0,1,0,0,1,0
Ditmars Steinway,60,1,0,1.3732214298586618,1,0,0,0,1,0,1,0
Upper West Side,255,2,65,2.04,1,5,0,1,0,0,0,0
Financial District,167,29,0,1.3732214298586618,96,332,0,1,0,0,0,0
Williamsburg,125,2,71,3.92,2,83,1,0,0,0,0,0
Flushing,69,1,86,8.06,1,121,0,0,1,0,0,0
Theater District,400,4,12,0.38,1,26,0,1,0,0,0,0
Woodhaven,35,3,14,0.83,2,0,0,0,1,0,1,0
Kensington,60,2,12,3.67,3,220,1,0,0,0,1,0
Upper West Side,150,1,16,0.4,1,0,0,1,0,0,0,0
Greenwich Village,165,30,19,0.23,1,259,0,1,0,0,0,0
Upper West Side,180,1,2,0.04,1,0,0,1,0,0,0,0
Williamsburg,129,2,8,0.57,1,0,1,0,0,0,0,0
West Village,299,3,0,1.3732214298586618,1,107,0,1,0,0,0,0
Greenwich Village,250,4,6,0.44,1,364,0,1,0,0,0,0
Jackson Heights,75,5,30,0.37,3,180,0,0,1,0,1,0
East Harlem,75,1,12,0.51,2,0,0,1,0,0,1,0
Bedford-Stuyvesant,175,2,42,0.82,1,0,1,0,0,0,0,0
Lower East Side,159,3,1,0.02,1,0,0,1,0,0,0,0
Greenpoint,55,20,3,0.09,1,0,1,0,0,0,1,0
Williamsburg,245,3,18,0.3,1,0,1,0,0,0,0,0
Crown Heights,300,2,16,0.24,2,41,1,0,0,0,0,0
Chelsea,200,4,4,0.06,1,0,0,1,0,0,0,0
Murray Hill,252,2,7,1.19,327,117,0,1,0,0,0,0
Gowanus,414,3,2,0.06,1,0,1,0,0,0,0,0
Inwood,99,3,150,3.85,1,320,0,1,0,0,1,0
Bedford-Stuyvesant,250,2,2,0.2,1,0,1,0,0,0,0,0
Lower East Side,95,2,16,0.45,2,0,0,1,0,0,1,0
Little Italy,165,2,0,1.3732214298586618,1,0,0,1,0,0,0,1
Williamsburg,60,3,1,0.05,1,0,1,0,0,0,1,0
Ditmars Steinway,55,1,36,3.11,1,179,0,0,1,0,1,0
Upper East Side,275,3,11,1.78,1,36,0,1,0,0,0,0
Kips Bay,89,3,3,0.09,1,0,0,1,0,0,1,0
Williamsburg,250,14,0,1.3732214298586618,1,83,1,0,0,0,0,0
Bedford-Stuyvesant,62,3,51,2.3,3,108,1,0,0,0,1,0
Bushwick,50,4,0,1.3732214298586618,1,0,1,0,0,0,1,0
Bushwick,40,1,65,5.27,2,52,1,0,0,0,1,0
Williamsburg,150,30,105,0.9,1,30,1,0,0,0,0,0
Williamsburg,165,30,154,1.87,1,157,1,0,0,0,0,0
Astoria,93,7,1,0.05,1,0,0,0,1,0,0,0
Little Italy,375,3,7,0.46,1,0,0,1,0,0,0,0
Williamsburg,76,1,59,4.57,1,44,1,0,0,0,1,0
SoHo,285,5,11,0.16,1,173,0,1,0,0,0,0
Lower East Side,200,4,6,0.31,1,0,0,1,0,0,0,0
Upper West Side,260,1,0,1.3732214298586618,1,0,0,1,0,0,0,0
Astoria,289,2,176,4.07,2,309,0,0,1,0,0,0
Bushwick,60,2,36,2.61,4,64,1,0,0,0,1,0
Washington Heights,55,1,22,0.95,2,91,0,1,0,0,1,0
Harlem,65,4,8,1.7,1,0,0,1,0,0,1,0
Washington Heights,45,1,1,0.16,3,66,0,1,0,0,1,0
Washington Heights,90,1,32,2.02,1,5,0,1,0,0,1,0
Crown Heights,100,2,0,1.3732214298586618,2,21,1,0,0,0,1,0
Crown Heights,90,31,70,2.79,1,263,1,0,0,0,0,0
Morningside Heights,90,4,0,1.3732214298586618,1,0,0,1,0,0,0,0
Bushwick,400,3,2,1.71,1,308,1,0,0,0,0,0
Flushing,99,1,4,4.0,6,365,0,0,1,0,1,0
Nolita,200,2,5,0.12,1,0,0,1,0,0,0,0
Elmhurst,51,2,100,3.05,1,296,0,0,1,0,1,0
Midtown,279,5,2,0.32,1,26,0,1,0,0,1,0
Hell's Kitchen,129,3,0,1.3732214298586618,1,5,0,1,0,0,1,0
East Harlem,74,2,32,3.98,1,195,0,1,0,0,1,0
Bushwick,40,1,24,3.46,1,20,1,0,0,0,1,0
Brooklyn Heights,200,1,3,0.05,1,0,1,0,0,0,1,0
Ditmars Steinway,85,5,3,0.11,1,88,0,0,1,0,1,0
Boerum Hill,200,20,11,0.46,1,32,1,0,0,0,0,0
East Harlem,165,1,3,0.13,2,0,0,1,0,0,1,0
Lower East Side,250,5,1,0.14,1,0,0,1,0,0,0,0
East New York,124,2,34,3.59,2,273,1,0,0,0,0,0
Chelsea,190,12,5,0.5,1,32,0,1,0,0,0,0
Nolita,160,4,2,0.02,1,0,0,1,0,0,0,0
Greenwich Village,380,6,29,0.43,1,365,0,1,0,0,0,0
Williamsburg,99,3,0,1.3732214298586618,1,14,1,0,0,0,0,0
Midtown,675,28,1,0.6,49,234,0,1,0,0,0,0
Washington Heights,43,5,1,0.04,1,0,0,1,0,0,1,0
Lower East Side,120,3,5,0.55,3,361,0,1,0,0,1,0
Two Bridges,145,6,42,2.13,2,221,0,1,0,0,0,0
Harlem,150,2,3,0.26,3,364,0,1,0,0,1,0
Harlem,200,1,0,1.3732214298586618,5,0,0,1,0,0,1,0
Hell's Kitchen,150,1,3,0.56,3,152,0,1,0,0,1,0
Bushwick,150,3,54,2.6,1,59,1,0,0,0,0,0
Chinatown,100,2,1,0.05,1,0,0,1,0,0,1,0
Crown Heights,200,1,0,1.3732214298586618,1,0,1,0,0,0,0,0
Upper West Side,100,2,16,0.56,1,0,0,1,0,0,1,0
Bushwick,50,1,0,1.3732214298586618,26,365,1,0,0,0,1,0
Ridgewood,200,2,1,1.0,1,0,0,0,1,0,0,0
Lower East Side,89,1,21,1.41,1,2,0,1,0,0,1,0
Bedford-Stuyvesant,200,2,0,1.3732214298586618,1,89,1,0,0,0,1,0
Theater District,300,1,0,1.3732214298586618,15,359,0,1,0,0,1,0
Hell's Kitchen,305,1,0,1.3732214298586618,2,0,0,1,0,0,0,0
West Village,269,4,10,0.47,1,10,0,1,0,0,0,0
Williamsburg,199,2,31,0.88,2,23,1,0,0,0,0,0
South Slope,130,4,2,0.28,1,179,1,0,0,0,0,0
East Harlem,100,3,0,1.3732214298586618,1,0,0,1,0,0,1,0
Williamsburg,50,7,4,0.07,1,0,1,0,0,0,0,0
West Village,230,2,39,1.03,1,0,0,1,0,0,0,0
Bushwick,82,15,5,0.06,1,311,1,0,0,0,0,0
Gramercy,109,5,5,0.07,1,22,0,1,0,0,1,0
Borough Park,75,2,25,1.08,1,129,1,0,0,0,1,0
Harlem,39,30,3,0.14,8,282,0,1,0,0,1,0
Prospect-Lefferts Gardens,95,1,48,2.63,2,77,1,0,0,0,1,0
Wakefield,55,1,0,1.3732214298586618,1,0,0,0,0,0,0,1
Bedford-Stuyvesant,55,1,1,0.03,1,6,1,0,0,0,1,0
Hell's Kitchen,120,30,2,0.21,47,351,0,1,0,0,1,0
Chelsea,450,4,206,4.24,1,1,0,1,0,0,0,0
Bushwick,100,1,14,0.37,1,0,1,0,0,0,1,0
Sunnyside,40,29,1,0.11,5,0,0,0,1,0,1,0
University Heights,43,3,36,1.26,5,365,0,0,0,0,1,0
Harlem,125,2,7,1.12,1,24,0,1,0,0,0,0
Lower East Side,300,2,65,0.96,1,350,0,1,0,0,0,0
East Elmhurst,100,2,0,1.3732214298586618,1,0,0,0,1,0,1,0
East Flatbush,165,3,55,1.95,1,171,1,0,0,0,0,0
Sunnyside,150,5,0,1.3732214298586618,1,359,0,0,1,0,0,0
Bedford-Stuyvesant,53,1,351,6.09,4,0,1,0,0,0,1,0
Sunnyside,60,28,0,1.3732214298586618,1,330,0,0,1,0,1,0
Civic Center,199,6,0,1.3732214298586618,1,0,0,1,0,0,0,0
Midtown,299,3,3,0.56,1,38,0,1,0,0,0,0
Clinton Hill,124,2,97,2.45,1,104,1,0,0,0,0,0
Midtown,599,3,8,0.24,12,365,0,1,0,0,1,0
South Ozone Park,80,1,75,9.34,3,57,0,0,1,0,1,0
Harlem,55,28,3,0.33,1,0,0,1,0,0,1,0
Crown Heights,129,3,30,3.96,3,81,1,0,0,0,0,0
Morningside Heights,75,1,29,3.33,3,8,0,1,0,0,1,0
Long Island City,134,2,8,1.1,5,144,0,0,1,0,0,0
Lower East Side,200,2,4,4.0,1,233,0,1,0,0,0,0
Civic Center,120,5,5,0.6,1,25,0,1,0,0,1,0
Lower East Side,128,1,0,1.3732214298586618,2,365,0,1,0,0,1,0
Ridgewood,200,2,38,2.73,1,363,0,0,1,0,0,0
Upper East Side,249,1,1,1.0,1,359,0,1,0,0,0,0
East Harlem,65,365,1,0.57,1,0,0,1,0,0,1,0
Lower East Side,104,30,11,0.19,8,80,0,1,0,0,0,0
Kips Bay,150,1,1,0.67,2,157,0,1,0,0,1,0
Nolita,84,1,1,0.3,8,0,0,1,0,0,1,0
Bedford-Stuyvesant,55,7,3,0.11,1,0,1,0,0,0,1,0
Washington Heights,75,2,17,1.99,2,27,0,1,0,0,1,0
Sunnyside,50,15,2,0.17,1,341,0,0,1,0,1,0
Upper West Side,170,3,0,1.3732214298586618,1,0,0,1,0,0,0,0
Astoria,49,5,9,1.05,4,318,0,0,1,0,1,0
West Village,299,5,4,0.09,1,0,0,1,0,0,0,0
Harlem,33,3,3,0.16,1,0,0,1,0,0,1,0
Canarsie,33,5,84,1.25,5,295,1,0,0,0,1,0
Lower East Side,150,2,32,1.58,1,76,0,1,0,0,1,0
Midwood,79,1,0,1.3732214298586618,1,0,1,0,0,0,0,0
Flushing,200,2,93,2.68,1,346,0,0,1,0,0,0
Sunset Park,85,5,0,1.3732214298586618,1,0,1,0,0,0,0,0
Bushwick,110,29,103,2.16,1,222,1,0,0,0,0,0
Murray Hill,190,1,5,0.29,1,0,0,1,0,0,0,0
Midtown,200,30,0,1.3732214298586618,1,155,0,1,0,0,0,0
Williamsburg,200,5,31,1.39,2,291,1,0,0,0,0,0
Harlem,60,7,0,1.3732214298586618,1,0,0,1,0,0,1,0
Bedford-Stuyvesant,70,2,77,1.77,1,274,1,0,0,0,0,0
Bushwick,90,4,17,0.76,1,0,1,0,0,0,1,0
Jamaica Estates,280,1,0,1.3732214298586618,1,330,0,0,1,0,0,0
East Village,125,1,11,1.26,1,0,0,1,0,0,0,0
Hell's Kitchen,185,29,1,1.0,327,281,0,1,0,0,0,0
East Harlem,195,1,112,2.38,1,262,0,1,0,0,0,0
South Slope,224,4,1,0.02,1,0,1,0,0,0,0,0
Theater District,278,30,0,1.3732214298586618,232,147,0,1,0,0,0,0
Chelsea,265,3,5,2.42,1,164,0,1,0,0,0,0
Hell's Kitchen,120,2,3,1.14,1,0,0,1,0,0,0,0
Financial District,80,2,4,0.27,1,0,0,1,0,0,1,0
Upper West Side,200,5,12,0.26,1,0,0,1,0,0,0,0
Upper West Side,280,1,1,0.02,1,0,0,1,0,0,0,0
Crown Heights,100,2,0,1.3732214298586618,1,364,1,0,0,0,0,1
Midtown,500,90,0,1.3732214298586618,49,364,0,1,0,0,0,0
Financial District,145,29,4,0.42,96,341,0,1,0,0,0,0
Bedford-Stuyvesant,95,2,39,4.18,1,26,1,0,0,0,0,0
East Village,120,5,13,0.34,1,0,0,1,0,0,1,0
South Slope,250,7,0,1.3732214298586618,1,0,1,0,0,0,0,0
Cypress Hills,57,1,9,3.18,6,170,1,0,0,0,1,0
Chelsea,195,2,0,1.3732214298586618,1,0,0,1,0,0,1,0
Murray Hill,200,1,0,1.3732214298586618,1,34,0,1,0,0,1,0
Prospect Heights,250,3,61,0.76,1,0,1,0,0,0,0,0
Hell's Kitchen,169,1,9,0.21,2,89,0,1,0,0,1,0
Fort Greene,75,2,0,1.3732214298586618,1,0,1,0,0,0,1,0
East Village,111,2,48,4.17,1,0,0,1,0,0,1,0
Financial District,130,3,2,0.17,1,0,0,1,0,0,0,0
Williamsburg,120,2,1,0.02,1,0,1,0,0,0,0,0
Chinatown,180,3,30,0.63,1,0,0,1,0,0,0,0
Lower East Side,160,2,6,0.1,1,0,0,1,0,0,0,0
Williamsburg,150,4,0,1.3732214298586618,1,0,1,0,0,0,0,0
Chelsea,126,4,8,0.18,1,0,0,1,0,0,0,0
Long Island City,120,2,9,0.2,2,89,0,0,1,0,1,0
East Village,75,1,0,1.3732214298586618,1,0,0,1,0,0,1,0
Astoria,55,10,0,1.3732214298586618,1,0,0,0,1,0,1,0
Williamsburg,69,1,0,1.3732214298586618,1,0,1,0,0,0,1,0
South Slope,200,1,4,0.07,1,0,1,0,0,0,0,0
Bushwick,50,7,2,0.06,1,0,1,0,0,0,1,0
East Flatbush,100,5,83,2.5,1,31,1,0,0,0,0,0
Chinatown,70,5,0,1.3732214298586618,1,0,0,1,0,0,1,0
Rosedale,70,1,3,1.11,2,180,0,0,1,0,1,0
Lower East Side,120,1,0,1.3732214298586618,1,0,0,1,0,0,0,0
Glendale,83,2,4,0.32,1,364,0,0,1,0,1,0
Flatbush,175,1,0,1.3732214298586618,1,0,1,0,0,0,0,0
Ridgewood,42,30,0,1.3732214298586618,23,332,0,0,1,0,1,0
Chelsea,290,2,62,1.53,1,19,0,1,0,0,0,0
Harlem,77,4,63,1.56,1,0,0,1,0,0,0,0
Ditmars Steinway,100,3,93,3.03,1,12,0,0,1,0,0,0
East Harlem,75,2,262,4.73,1,166,0,1,0,0,1,0
Williamsburg,50,1,15,0.44,1,0,1,0,0,0,1,0
Upper West Side,135,1,7,7.0,1,94,0,1,0,0,0,0
Gramercy,190,7,10,2.7,1,24,0,1,0,0,0,0
Long Island City,76,3,9,0.29,1,0,0,0,1,0,0,0
Bushwick,150,3,3,0.39,1,0,1,0,0,0,0,0
East Harlem,275,2,95,2.51,2,248,0,1,0,0,0,0
Washington Heights,105,3,8,0.21,1,0,0,1,0,0,0,0
Hell's Kitchen,130,4,2,0.07,1,0,0,1,0,0,0,0
Clinton Hill,175,1,17,1.51,2,179,1,0,0,0,1,0
Midtown,215,30,0,1.3732214298586618,232,2,0,1,0,0,0,0
West Village,450,2,4,2.55,1,43,0,1,0,0,0,0
DUMBO,125,3,181,3.67,1,111,1,0,0,0,1,0
Columbia St,107,30,35,0.55,1,18,1,0,0,0,0,0
Harlem,45,2,15,2.28,1,96,0,1,0,0,0,1
Washington Heights,65,1,6,0.33,1,0,0,1,0,0,1,0
Prospect Heights,350,3,11,0.19,1,21,1,0,0,0,0,0
SoHo,315,2,29,1.31,1,177,0,1,0,0,0,0
Bushwick,50,1,3,1.8,5,62,1,0,0,0,1,0
Upper East Side,195,1,3,0.11,1,0,0,1,0,0,0,0
Throgs Neck,74,3,23,1.77,4,58,0,0,0,0,1,0
Williamsburg,65,1,20,4.23,4,107,1,0,0,0,1,0
Williamsburg,150,2,0,1.3732214298586618,1,0,1,0,0,0,1,0
Greenpoint,61,1,5,3.06,2,138,1,0,0,0,1,0
Washington Heights,110,7,0,1.3732214298586618,1,0,0,1,0,0,0,0
Upper East Side,250,30,4,0.07,9,311,0,1,0,0,0,0
Financial District,430,3,0,1.3732214298586618,1,42,0,1,0,0,0,0
Elmhurst,95,3,20,4.11,1,101,0,0,1,0,0,0
Harlem,399,4,15,0.31,2,5,0,1,0,0,0,0
Harlem,170,3,44,2.23,1,0,0,1,0,0,0,0
Lower East Side,295,5,0,1.3732214298586618,1,0,0,1,0,0,0,0
Midwood,65,2,8,0.19,2,321,1,0,0,0,1,0
East Flatbush,200,3,1,1.0,4,357,1,0,0,0,0,0
Bedford-Stuyvesant,79,1,65,3.78,3,92,1,0,0,0,0,0
Bushwick,63,3,2,0.31,1,365,1,0,0,0,1,0
Clinton Hill,62,2,2,0.14,1,0,1,0,0,0,1,0
Flatbush,60,7,0,1.3732214298586618,1,0,1,0,0,0,1,0
Washington Heights,200,5,0,1.3732214298586618,1,0,0,1,0,0,0,0
Harlem,50,1,30,6.25,2,149,0,1,0,0,1,0
Greenpoint,149,3,32,0.75,13,74,1,0,0,0,1,0
Flatlands,175,2,4,2.18,3,43,1,0,0,0,1,0
Midtown,239,4,4,0.09,1,0,0,1,0,0,0,0
Prospect Heights,55,2,3,0.06,1,189,1,0,0,0,1,0
Chelsea,229,3,2,0.06,1,0,0,1,0,0,0,0
Inwood,70,1,1,0.03,1,312,0,1,0,0,1,0
Upper West Side,200,4,4,0.07,1,0,0,1,0,0,0,0
Chelsea,399,3,44,2.4,1,112,0,1,0,0,0,0
Morningside Heights,145,1,12,0.21,1,0,0,1,0,0,0,0
Ridgewood,80,2,177,4.48,2,245,0,0,1,0,1,0
Midtown,389,3,3,0.13,4,357,0,1,0,0,1,0
Prospect-Lefferts Gardens,150,5,12,0.34,1,0,1,0,0,0,0,0
Kips Bay,200,1,0,1.3732214298586618,1,0,0,1,0,0,0,0
Windsor Terrace,143,14,2,0.04,1,10,1,0,0,0,0,0
Bushwick,50,2,6,0.16,1,0,1,0,0,0,1,0
Bedford-Stuyvesant,36,1,0,1.3732214298586618,1,0,1,0,0,0,1,0
Harlem,100,1,4,1.6,9,275,0,1,0,0,1,0
Richmond Hill,53,1,12,5.37,7,180,0,0,1,0,1,0
Midtown,250,2,33,0.73,1,7,0,1,0,0,0,0
Williamsburg,130,1,78,2.17,1,0,1,0,0,0,0,0
Clason Point,75,2,0,1.3732214298586618,7,349,0,0,0,0,1,0
Hell's Kitchen,95,3,3,0.26,1,5,0,1,0,0,1,0
Lower East Side,40,1,0,1.3732214298586618,1,0,0,1,0,0,1,0
Clinton Hill,89,2,89,1.12,3,318,1,0,0,0,1,0
Gramercy,200,1,0,1.3732214298586618,1,0,0,1,0,0,1,0
Todt Hill,50,2,6,2.02,3,52,0,0,0,1,1,0
Midtown,155,1,0,1.3732214298586618,2,244,0,1,0,0,0,0
St. Albans,55,2,8,0.76,4,122,0,0,1,0,1,0
Ridgewood,38,30,0,1.3732214298586618,6,358,0,0,1,0,0,1
Claremont Village,80,2,0,1.3732214298586618,1,321,0,0,0,0,0,0
West Village,800,1,0,1.3732214298586618,1,0,0,1,0,0,0,0
Bedford-Stuyvesant,145,4,63,1.6,2,37,1,0,0,0,0,0
Crown Heights,42,2,10,0.64,1,10,1,0,0,0,1,0
Crown Heights,33,7,0,1.3732214298586618,1,0,1,0,0,0,1,0
Bushwick,65,5,0,1.3732214298586618,1,0,1,0,0,0,0,0
Woodside,62,30,2,0.32,103,269,0,0,1,0,1,0
Flatbush,98,3,0,1.3732214298586618,5,0,1,0,0,0,1,0
Stuyvesant Town,55,4,1,0.08,1,0,0,1,0,0,1,0
Upper East Side,108,30,7,0.14,29,188,0,1,0,0,0,0
Harlem,75,28,0,1.3732214298586618,1,41,0,1,0,0,0,0
Bushwick,120,30,0,1.3732214298586618,1,0,1,0,0,0,0,0
Upper West Side,100,1,0,1.3732214298586618,2,0,0,1,0,0,1,0
Bedford-Stuyvesant,150,5,14,0.28,2,363,1,0,0,0,0,0
Ridgewood,100,3,27,0.63,1,107,0,0,1,0,0,0
Williamsburg,240,14,20,0.43,1,238,1,0,0,0,0,0
Bushwick,90,1,2,0.25,1,29,1,0,0,0,1,0
Hell's Kitchen,120,2,9,1.08,1,2,0,1,0,0,0,0
Midtown,350,30,0,1.3732214298586618,2,283,0,1,0,0,0,0
Bedford-Stuyvesant,50,1,1,1.0,1,51,1,0,0,0,1,0
Bushwick,65,12,0,1.3732214298586618,1,0,1,0,0,0,1,0
Jamaica,59,1,3,0.57,2,37,0,0,1,0,1,0
Williamsburg,59,4,5,1.24,1,0,1,0,0,0,1,0
Flatbush,76,14,1,0.06,1,41,1,0,0,0,0,0
East Flatbush,43,30,1,0.02,43,347,1,0,0,0,1,0
Norwood,87,2,1,0.05,1,0,0,0,0,0,1,0
Lower East Side,75,5,14,2.09,2,217,0,1,0,0,1,0
Jackson Heights,143,2,3,0.15,1,0,0,0,1,0,0,0
Greenwich Village,148,2,3,0.24,1,0,0,1,0,0,0,0
Clinton Hill,150,6,16,1.58,1,168,1,0,0,0,0,0
East Harlem,115,7,7,0.48,2,0,0,1,0,0,0,0
Bedford-Stuyvesant,80,3,4,0.09,1,0,1,0,0,0,1,0
Midtown,125,30,3,0.09,9,0,0,1,0,0,0,0
Crown Heights,150,3,0,1.3732214298586618,2,0,1,0,0,0,0,0
Bushwick,35,90,0,1.3732214298586618,1,326,1,0,0,0,1,0
Williamsburg,145,30,36,0.42,1,342,1,0,0,0,0,0
Williamsburg,70,3,1,0.05,1,0,1,0,0,0,1,0
Midtown,269,3,5,0.35,12,0,0,1,0,0,0,0
Crown Heights,64,2,56,2.65,1,184,1,0,0,0,1,0
Gravesend,25,7,0,1.3732214298586618,6,365,1,0,0,0,0,1
Upper East Side,1000,3,10,0.79,1,84,0,1,0,0,0,0
Upper East Side,65,2,42,1.31,2,0,0,1,0,0,1,0
Flatbush,36,1,173,2.38,5,360,1,0,0,0,1,0
Bushwick,55,1,88,2.43,2,102,1,0,0,0,1,0
Jackson Heights,99,2,0,1.3732214298586618,1,90,0,0,1,0,1,0
Bushwick,95,3,5,0.39,1,0,1,0,0,0,0,0
East Harlem,150,1,207,4.55,4,0,0,1,0,0,1,0
Upper East Side,395,7,4,2.35,1,279,0,1,0,0,0,0
Upper West Side,140,2,34,2.27,1,0,0,1,0,0,0,0
Midtown,72,6,0,1.3732214298586618,1,0,0,1,0,0,1,0
Hell's Kitchen,138,1,20,0.5,1,265,0,1,0,0,0,0
Bushwick,60,3,0,1.3732214298586618,2,0,1,0,0,0,1,0
Upper West Side,279,5,2,2.0,1,346,0,1,0,0,0,0
Midtown,650,30,0,1.3732214298586618,1,310,0,1,0,0,0,0
Borough Park,60,1,20,1.52,7,177,1,0,0,0,1,0
Upper West Side,35,1,64,4.76,4,22,0,1,0,0,1,0
Bedford-Stuyvesant,50,4,2,0.09,2,0,1,0,0,0,1,0
Crown Heights,110,2,31,1.36,1,4,1,0,0,0,0,0
Upper East Side,94,4,2,1.3,2,77,0,1,0,0,1,0
Crown Heights,130,5,150,2.48,2,309,1,0,0,0,0,0
Astoria,150,2,2,0.04,1,0,0,0,1,0,0,0
Lower East Side,207,2,3,0.26,1,0,0,1,0,0,0,0
Bedford-Stuyvesant,89,1,3,0.45,1,48,1,0,0,0,1,0
East Harlem,465,3,74,1.67,1,62,0,1,0,0,0,0
East Village,85,3,4,0.11,1,0,0,1,0,0,1,0
Bedford-Stuyvesant,245,5,0,1.3732214298586618,1,0,1,0,0,0,0,0
Gowanus,60,1,1,0.02,1,0,1,0,0,0,1,0
Prospect Heights,175,2,5,0.11,1,0,1,0,0,0,0,0
Boerum Hill,182,4,0,1.3732214298586618,1,70,1,0,0,0,0,0
Williamsburg,295,2,1,0.81,1,0,1,0,0,0,0,0
Bedford-Stuyvesant,40,3,1,0.04,1,0,1,0,0,0,1,0
Fort Greene,170,1,12,0.3,1,0,1,0,0,0,0,0
Bedford-Stuyvesant,75,2,7,4.2,1,0,1,0,0,0,1,0
Theater District,169,2,33,0.47,2,340,0,1,0,0,1,0
Bedford-Stuyvesant,50,6,1,0.18,2,0,1,0,0,0,1,0
Bedford-Stuyvesant,50,7,3,0.06,1,31,1,0,0,0,1,0
